original_title,budget,runtime,original_language,release_date
"To Wong Foo, Thanks for Everything! Julie Newmar",0,105.0,en,1995-09-07
A Goofy Movie,0,78.0,en,1995-04-07
A Kid in King Arthur's Court,0,89.0,en,1995-08-11
A Little Princess,17000000,97.0,en,1995-05-10
A Midwinter's Tale,0,99.0,en,1995-12-01
A Pyromaniac's Love Story,0,94.0,en,1995-04-28
A Walk in the Clouds,20000000,103.0,en,1995-08-11
Ace Ventura: When Nature Calls,30000000,90.0,en,1995-11-10
Across the Sea of Time,0,51.0,en,1995-10-20
Amateur,0,105.0,en,1994-08-05
An Awfully Big Adventure,4000000,113.0,en,1995-07-21
Angela,0,99.0,en,1995-01-01
Angels and Insects,0,118.0,en,1995-09-10
Anne Frank Remembered,0,117.0,en,1995-06-08
Antonia,900000,102.0,nl,1995-09-12
Apollo 13,52000000,140.0,en,1995-06-30
Assassins,50000000,132.0,en,1995-10-06
Babe,30000000,89.0,en,1995-07-18
Bad Boys,19000000,118.0,en,1995-04-07
Balto,0,78.0,en,1995-12-22
Batman Forever,100000000,121.0,en,1995-06-16
Beautiful Girls,0,112.0,en,1996-02-09
Bed of Roses,0,87.0,en,1996-01-26
Before Sunrise,2500000,105.0,en,1995-01-27
Before and After,35000000,108.0,en,1996-02-23
Before the Rain,0,113.0,en,1994-06-09
Belle de jour,0,101.0,fr,1967-05-24
Beyond Bedlam,4800000,89.0,en,1994-04-22
Beyond Rangoon,0,100.0,en,1995-05-24
Big Bully,15000000,90.0,en,1996-01-26
Billy Madison,10000000,89.0,en,1995-02-10
Bio-Dome,15000000,88.0,en,1996-01-12
Black Sheep,0,87.0,en,1996-02-01
Blue in the Face,2000000,83.0,en,1995-09-15
Boomerang,40000000,117.0,en,1992-06-30
Bottle Rocket,7000000,91.0,en,1996-02-21
Boys on the Side,21000000,115.0,en,1995-02-03
Braveheart,72000000,177.0,en,1995-05-24
Broken Arrow,50000000,108.0,en,1996-02-09
Bushwhacked,0,90.0,en,1995-08-04
Canadian Bacon,11000000,91.0,en,1995-06-08
Carrington,0,121.0,en,1995-11-08
Casino,52000000,178.0,en,1995-11-22
Casper,50000000,100.0,en,1995-05-26
Castle Freak,0,95.0,en,1995-08-04
Catwalk,0,95.0,en,1995-12-08
Circle of Friends,0,103.0,en,1995-03-16
City Hall,0,111.0,en,1996-02-16
Clerks,27000,92.0,en,1994-09-13
Clockers,25000000,128.0,en,1995-09-15
Clueless,12000000,97.0,en,1995-07-19
Como agua para chocolate,2000000,105.0,es,1992-04-16
Congo,50000000,109.0,en,1995-06-09
Copycat,0,124.0,en,1995-10-27
Crimson Tide,53000000,116.0,en,1995-05-12
Crumb,0,119.0,en,1994-09-10
Cutthroat Island,98000000,119.0,en,1995-12-22
Dangerous Minds,0,99.0,en,1995-08-11
Dead Man Walking,11000000,122.0,en,1995-12-29
Dead Presidents,10000000,119.0,en,1995-10-06
Death and the Maiden,0,103.0,en,1994-05-04
Desperado,7000000,104.0,en,1995-08-25
Destiny Turns on the Radio,0,0.0,it,1995-04-28
Devil in a Blue Dress,27000000,102.0,en,1995-09-15
Die Hard: With a Vengeance,90000000,128.0,en,1995-05-19
Disclosure,55000000,123.0,en,1994-12-09
Dolores Claiborne,0,132.0,en,1995-03-24
Don Juan DeMarco,25000000,97.0,en,1994-10-01
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,89.0,en,1996-01-12
Down Periscope,0,92.0,en,1996-03-01
Dracula: Dead and Loving It,0,88.0,en,1995-12-22
Dream Man,0,0.0,en,1995-01-01
Drop Zone,45000000,101.0,en,1994-12-08
Dumb and Dumber,16000000,107.0,en,1994-12-16
Dunston Checks In,16000000,88.0,en,1996-01-12
Ed Wood,18000000,127.0,en,1994-09-27
Exit to Eden,0,113.0,en,1994-10-14
